SUBSISTEMA,TIPO INSTITUICAO,COD IES,COD UO,IES,IES UO,ASSOCIACAO,NUMERO REGISTO,CURSO,COD CURSO,ECTS,CNA/CL/CI,DURACAO,TIPO CURSO,COD CNAEF,LMA,REGIME GERAL DE ACESSO,MAIORES 23,DIPLOMADOS DET,DIPLOMADOS TESP,OUTROS CURSOS SUPERIORES,CURSOS DUPLA CERTIFICAÇÃO,MEDICINA PARA LICENCIADOS,ESTUDANTES INTERNACIONAIS,MUDANÇA DE PAR,REGIMES ESPECIAIS,TOTAL VAGAS CE,TOTAL VAGAS
Público,Universitário,0500,0501,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,n/a,R/A-Ef 1545/2011,Matemática,9209,180,CNA,6 Semestres,L1,461,60,45,3,0,0,2,0,0,3,5,2,13,60
Público,Universitário,0500,0501,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,n/a,R/A-Ef 1546/2011,Química,9223,180,CNA,6 Semestres,L1,442,45,20,7,0,0,3,0,0,5,3,2,18,40
Público,Universitário,0500,0501,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Ministrado entre,R/A-Cr 9/2010,Química Medicinal,8408,180,CNA,6 Semestres,L1,442,45,15,6,0,0,2,0,0,6,4,2,18,35
Público,Universitário,0500,0502,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Direito,n/a,R/A-Ef 1592/2011,Administração Pública,9002,180,CNA,6 Semestres,L1,345,70,41,2,0,0,1,0,0,11,2,3,16,60
Público,Universitário,0500,0502,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Direito,n/a,R/A-Ef 1593/2011,Direito,9078,240,CNA,8 Semestres,L1,380,500,350,13,0,0,15,0,0,67,30,25,125,500
Público,Universitário,0500,0503,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Economia,n/a,R/A-Cr 33/2023,Economia,9081,180,CNA,6 Semestres,L1,314,200,151,7,0,0,2,0,0,18,12,10,39,200
Público,Universitário,0500,0503,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Economia,n/a,R/A-Cr 32/2023,Gestão,9147,180,CNA,6 Semestres,L1,345,150,100,4,0,0,4,0,0,16,6,6,30,136
Público,Universitário,0500,0503,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Economia,n/a,R/A-Ef 1608/2011,Relações Internacionais,9229,180,CNA,6 Semestres,L1,313,100,53,1,0,0,0,0,0,31,0,5,32,90
Público,Universitário,0500,0503,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Economia,n/a,R/A-Ef 1609/2011,Sociologia,9240,180,CNA,6 Semestres,L1,312,65,40,7,0,0,2,0,0,8,5,3,22,65
Público,Universitário,0500,0504,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Farmácia,n/a,R/A-Ef 1621/2011,Ciências Bioanalíticas,9819,180,CNA,6 Semestres,L1,727,52,30,3,0,0,3,0,0,8,5,3,19,52
Público,Universitário,0500,0504,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Farmácia,n/a,R/A-Ef 1629/2011,Ciências Farmacêuticas,9494,300,CNA,5 Anos,MI,727,270,220,10,0,0,8,0,0,10,4,8,32,260
Público,Universitário,0500,0504,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Farmácia,n/a,R/A-Ef 1622/2011,Farmácia Biomédica,9832,180,CNA,6 Semestres,L1,727,50,30,3,0,0,3,0,0,8,3,3,17,50
Público,Universitário,0500,0505,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Letras,n/a,R/A-Cr 73/2015,Arqueologia,9006,180,CNA,6 Semestres,L1,225,40,26,4,0,0,2,0,0,5,2,1,13,40
Público,Universitário,0500,0505,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Letras,n/a,R/A-Ef 1639/2011,Ciência da Informação,9694,180,CNA,6 Semestres,L1,322,40,29,2,0,0,1,0,0,5,1,2,9,40
Público,Universitário,0500,0505,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Letras,n/a,R/A-Cr 81/2015,Estudos Artísticos,9132,180,CNA,6 Semestres,L1,212,55,38,3,0,0,2,0,0,8,2,2,15,55
Público,Universitário,0500,0505,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Letras,n/a,R/A-Cr 25/2015,Estudos Clássicos,9133,180,CNA,6 Semestres,L1,222,40,21,6,0,0,6,0,0,4,2,1,18,40
Público,Universitário,0500,0505,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Letras,n/a,R/A-Cr 115/2015,Estudos Europeus,9135,180,CNA,6 Semestres,L1,312,60,40,1,0,0,1,0,0,6,4,3,12,55
Público,Universitário,0500,0505,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Letras,n/a,R/A-Cr 28/2015,Filosofia,9139,180,CNA,6 Semestres,L1,226,45,27,7,0,0,1,0,0,6,2,2,16,45
Público,Universitário,0500,0505,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Letras,n/a,R/A-Cr 42/2015,Geografia,9143,180,CNA,6 Semestres,L1,312,135,75,10,0,0,5,0,0,12,5,7,32,114
Público,Universitário,0500,0505,Universidade de Coimbra,Universidade de Coimbra - Faculdade de Letras,n/a,R/A-Cr 74/2015,História,9181,180,CNA,6 Semestres,L1,225,90,63,5,0,0,4,0,0,10,6,2,25,90
